Symbol,Entry,Stop,Target,Shares,Status
KIRLOSENG.NS,2389.80,2270.31,2628.78,8,OPEN
TRITURBINE.NS,737.30,700.43,811.03,27,OPEN
BHARATFORG.NS,2103.80,1998.61,2314.18,9,OPEN
NIACL.NS,212.11,201.50,233.32,94,OPEN
LLOYDSME.NS,1785.60,1696.32,1964.16,11,OPEN
HSCL.NS,655.05,622.30,720.55,30,OPEN
